date,team,site,o_team,line,total
20201222,Nets,home,Warriors,-7.5,229
20201222,Warriors,away,Nets,7.5,229
20201223,Bulls,home,Hawks,2,231
20201223,Hawks,away,Bulls,-2,231
20201223,Cavaliers,home,Hornets,0,216.5
20201223,Hornets,away,Cavaliers,0,216.5
20201223,Celtics,home,Bucks,2.5,225.5
20201223,Bucks,away,Celtics,-2.5,225.5
20201223,Grizzlies,home,Spurs,-2,231.5
20201223,Spurs,away,Grizzlies,2,231.5
20201223,Magic,home,Heat,3.5,219
20201223,Heat,away,Magic,-3.5,219
20201223,Nuggets,home,Kings,-7.5,226
20201223,Kings,away,Nuggets,7.5,226
20201223,Pacers,home,Knicks,-8.5,215.5
20201223,Knicks,away,Pacers,8.5,215.5
20201223,Raptors,home,Pelicans,-3.5,228.5
20201223,Pelicans,away,Raptors,3.5,228.5
20201223,Seventysixers,home,Wizards,-7,229
20201223,Wizards,away,Seventysixers,7,229
20201223,Suns,home,Mavericks,-1,233.5
20201223,Mavericks,away,Suns,1,233.5
20201223,Timberwolves,home,Pistons,-5.5,224.5
20201223,Pistons,away,Timberwolves,5.5,224.5
20201223,Trailblazers,home,Jazz,2,225.5
20201223,Jazz,away,Trailblazers,-2,225.5
20201225,Bucks,home,Warriors,-10.5,233.5
20201225,Warriors,away,Bucks,10.5,233.5
20201225,Celtics,home,Nets,3,227
20201225,Nets,away,Celtics,-3,227
20201225,Heat,home,Pelicans,-5,223.5
20201225,Pelicans,away,Heat,5,223.5
20201225,Lakers,home,Mavericks,-6.5,230
20201225,Mavericks,away,Lakers,6.5,230
20201225,Nuggets,home,Clippers,3,225
20201225,Clippers,away,Nuggets,-3,225
20201226,Bulls,home,Pacers,5.5,223.5
20201226,Pacers,away,Bulls,-5.5,223.5
20201226,Grizzlies,home,Hawks,0,237
20201226,Hawks,away,Grizzlies,0,237
20201226,Hornets,home,Thunder,-2,217.5
20201226,Thunder,away,Hornets,2,217.5
20201226,Jazz,home,Timberwolves,-8,229
20201226,Timberwolves,away,Jazz,8,229
20201226,Kings,home,Suns,3.5,227
20201226,Suns,away,Kings,-3.5,227
20201226,Knicks,home,Seventysixers,8.5,215
20201226,Seventysixers,away,Knicks,-8.5,215
20201226,Pistons,home,Cavaliers,-1,220
20201226,Cavaliers,away,Pistons,1,220
20201226,Spurs,home,Raptors,1,227.5
20201226,Raptors,away,Spurs,-1,227.5
20201226,Trailblazers,home,Rockets,-7.5,226
20201226,Rockets,away,Trailblazers,7.5,226
20201226,Wizards,home,Magic,-1,232.5
20201226,Magic,away,Wizards,1,232.5
